equipment_guid,name,param
19f497d8-b104-4879-b6c3-e37e510f07c2,Operation_LB,2
7f698a28-d9d4-456a-9814-19d6c9b2f1a1,Operation_switch,2
24461a2c-b0cf-4f4e-8bda-a3b523ef3c5b,Operation_LM,1
a5197017-c560-4713-aacd-01f097dda18f,Operation_switch,2
75292a01-6d17-4d50-bb75-d42718f75fe8,Operation_switch,1
ac8496d6-c7ee-4512-8e0f-e0ee2ccf0a82,Operation_pick2CNC,
609a96ff-85ee-41e9-8ed3-3a8218ece0d6,Operation_machine,test1.nc
ac8496d6-c7ee-4512-8e0f-e0ee2ccf0a82,Operation_pick2pallet,
7f698a28-d9d4-456a-9814-19d6c9b2f1a1,Operation_switch,1
40d093ac-cc17-4e03-bf18-e6778cd54667,Operation_package,
dedccdfb-afdf-4f60-a9b7-1c88deb106c5,Operation_LC,2
95243742-5e4c-4c5a-b16e-0d94c673b87e,Operation_UB,
